RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID
AMOISRMB01MA5AONL,12-Dec-2007,09:44:45,12-Dec-2007,17:44:45,2.54,2.24
AMOISRMB01MA5AONL,12-Feb-2008,08:47:40,12-Feb-2008,16:47:40,2.54,2.24
AMOISRMB01MA5AONL,19-Feb-2008,06:20:55,19-Feb-2008,14:20:55,2.54,2.07
AMOISRMB01MA5AONL,19-Feb-2008,06:20:56,19-Feb-2008,14:20:56,2.37,2.07
AMOISRMB01MA5AONL,22-Feb-2008,08:21:24,22-Feb-2008,16:21:24,2.37,2.2
AMOISRMB01MA5AONL,22-Feb-2008,08:21:27,22-Feb-2008,16:21:27,2.3,2.2
AMOISRMB01MA5AONL,22-Feb-2008,08:21:37,22-Feb-2008,16:21:37,2.3,2.25
AMOISRMB01MA5AONL,22-Feb-2008,08:21:39,22-Feb-2008,16:21:39,2.35,2.25
AMOISRMB01MA5AONL,22-Feb-2008,08:24:58,22-Feb-2008,16:24:58,2.35,2.19
AMOISRMB01MA5AONL,22-Feb-2008,08:25:00,22-Feb-2008,16:25:00,2.49,2.19
AMOISRMB01MA5AONL,22-Feb-2008,08:28:51,22-Feb-2008,16:28:51,2.49,2.24
AMOISRMB01MA5AONL,22-Feb-2008,08:28:53,22-Feb-2008,16:28:53,2.54,2.24
AMOISRMB01MA5AONL,22-Feb-2008,08:30:33,22-Feb-2008,16:30:33,2.54,2.1
AMOISRMB01MA5AONL,22-Feb-2008,08:30:36,22-Feb-2008,16:30:36,2.4,2.1
AMOISRMB01MA5AONL,22-Feb-2008,08:48:51,22-Feb-2008,16:48:51,2.4,2.07
AMOISRMB01MA5AONL,22-Feb-2008,08:48:53,22-Feb-2008,16:48:53,2.37,2.07
AMOISRMB01MA5AONL,24-Feb-2008,20:58:14,25-Feb-2008,04:58:14,2.37,2.07
AMOISRMB01MA5AONL,07-Mar-2008,06:27:59,07-Mar-2008,14:27:59,2.37,2.1
AMOISRMB01MA5AONL,07-Mar-2008,06:28:02,07-Mar-2008,14:28:02,2.4,2.1
AMOISRMB01MA5AONL,31-Mar-2008,14:35:28,31-Mar-2008,22:35:28,2.4,2.1
AMOISRMB01MA5AONL,07-Apr-2008,10:03:38,07-Apr-2008,18:03:38,2.4,2.16
AMOISRMB01MA5AONL,07-Apr-2008,10:03:40,07-Apr-2008,18:03:40,2.46,2.16
AMOISRMB01MA5AONL,13-Apr-2008,16:47:57,14-Apr-2008,00:47:57,2.46,2.16
AMOISRMB01MA5AONL,16-Apr-2008,01:23:17,16-Apr-2008,09:23:17,2.46,2.15
AMOISRMB01MA5AONL,16-Apr-2008,01:23:19,16-Apr-2008,09:23:19,2.45,2.15
AMOISRMB01MA5AONL,16-Apr-2008,09:46:35,16-Apr-2008,17:46:35,2.45,2.16
AMOISRMB01MA5AONL,16-Apr-2008,09:46:37,16-Apr-2008,17:46:37,2.46,2.16
AMOISRMB01MA5AONL,25-Apr-2008,06:41:40,25-Apr-2008,14:41:40,2.46,2.15
AMOISRMB01MA5AONL,25-Apr-2008,06:41:42,25-Apr-2008,14:41:42,2.45,2.15
AMOISRMB01MA5AONL,04-May-2008,19:44:17,05-May-2008,03:44:17,2.45,2.15
AMOISRMB01MA5AONL,08-May-2008,02:41:51,08-May-2008,10:41:51,2.45,2.16
AMOISRMB01MA5AONL,08-May-2008,02:41:53,08-May-2008,10:41:53,2.46,2.16
AMOISRMB01MA5AONL,22-May-2008,01:49:34,22-May-2008,09:49:34,2.46,2.2
AMOISRMB01MA5AONL,22-May-2008,01:49:58,22-May-2008,09:49:58,2.5,2.2
AMOISRMB01MA5AONL,22-May-2008,01:58:29,22-May-2008,09:58:29,2.5,2.25
AMOISRMB01MA5AONL,22-May-2008,01:58:29,22-May-2008,09:58:29,2.55,2.25
AMOISRMB01MA5AONL,26-May-2008,07:11:47,26-May-2008,15:11:47,2.55,2.37
AMOISRMB01MA5AONL,26-May-2008,07:11:50,26-May-2008,15:11:50,2.67,2.37
AMOISRMB01MA5AONL,26-May-2008,07:43:04,26-May-2008,15:43:04,2.69,2.37
AMOISRMB01MA5AONL,26-May-2008,07:43:05,26-May-2008,15:43:05,2.69,2.39
AMOISRMB01MA5AONL,27-May-2008,02:00:59,27-May-2008,10:00:59,2.69,2.45
AMOISRMB01MA5AONL,27-May-2008,02:00:59,27-May-2008,10:00:59,2.75,2.45
AMOISRMB01MA5AONL,27-May-2008,02:11:49,27-May-2008,10:11:49,2.75,2.42
AMOISRMB01MA5AONL,27-May-2008,02:11:50,27-May-2008,10:11:50,2.72,2.42
AMOISRMB01MA5AONL,28-May-2008,01:56:46,28-May-2008,09:56:46,2.72,2.36
AMOISRMB01MA5AONL,28-May-2008,01:56:46,28-May-2008,09:56:46,2.66,2.36
AMOISRMB01MA5AONL,02-Jun-2008,09:16:13,02-Jun-2008,17:16:13,2.66,2.5
AMOISRMB01MA5AONL,02-Jun-2008,09:16:15,02-Jun-2008,17:16:15,2.8,2.5
AMOISRMB01MA5AONL,09-Jul-2008,01:42:59,09-Jul-2008,09:42:59,2.8,2.5
AMOISRMB01MA5AONL,15-Jul-2008,08:14:53,15-Jul-2008,16:14:53,2.8,2.43
AMOISRMB01MA5AONL,15-Jul-2008,08:14:54,15-Jul-2008,16:14:54,2.73,2.43
AMOISRMB01MA5AONL,15-Jul-2008,08:53:05,15-Jul-2008,16:53:05,2.73,2.43
AMOISRMB01MA5AONL,17-Jul-2008,15:10:56,17-Jul-2008,23:10:56,2.73,2.43
AMOISRMB01MA5AONL,31-Jul-2008,12:39:43,31-Jul-2008,20:39:43,2.73,2.43
AMOISRMB01MA5AONL,01-Aug-2008,10:30:25,01-Aug-2008,18:30:25,2.73,2.43
AMOISRMB01MA5AONL,25-Aug-2008,06:46:36,25-Aug-2008,14:46:36,2.73,2.41
AMOISRMB01MA5AONL,25-Aug-2008,06:46:37,25-Aug-2008,14:46:37,2.71,2.41
AMOISRMB01MA5AONL,25-Aug-2008,06:48:23,25-Aug-2008,14:48:23,2.71,2.43
AMOISRMB01MA5AONL,25-Aug-2008,06:48:24,25-Aug-2008,14:48:24,2.73,2.43
AMOISRMB01MA5AONL,31-Aug-2008,09:58:12,31-Aug-2008,17:58:12,2.73,2.43
AMOISRMB01MA5AONL,05-Sep-2008,09:40:31,05-Sep-2008,17:40:31,2.73,2.5
AMOISRMB01MA5AONL,05-Sep-2008,09:40:33,05-Sep-2008,17:40:33,2.8,2.5
AMOISRMB01MA5AONL,07-Sep-2008,10:53:43,07-Sep-2008,18:53:43,2.8,2.5
AMOISRMB01MA5AONL,14-Sep-2008,12:23:31,14-Sep-2008,20:23:31,2.8,2.5
AMOISRMB01MA5AONL,21-Sep-2008,10:02:37,21-Sep-2008,18:02:37,2.8,2.5
